Provincias	Tamaño de los municipios	Periodo	Total
29 Málaga	De 30.001 a 50.000	2014	4
29 Málaga	De 30.001 a 50.000	2013	4
29 Málaga	De 30.001 a 50.000	2012	4
29 Málaga	De 30.001 a 50.000	2011	4
29 Málaga	De 30.001 a 50.000	2010	4
29 Málaga	De 30.001 a 50.000	2009	4
29 Málaga	De 30.001 a 50.000	2008	4
29 Málaga	De 30.001 a 50.000	2007	4
29 Málaga	De 30.001 a 50.000	2006	4
29 Málaga	De 30.001 a 50.000	2005	4
29 Málaga	De 30.001 a 50.000	2004	4
29 Málaga	De 30.001 a 50.000	2003	4
29 Málaga	De 30.001 a 50.000	2002	6
29 Málaga	De 30.001 a 50.000	2001	6
29 Málaga	De 30.001 a 50.000	2000	7
29 Málaga	De 30.001 a 50.000	1999	7
29 Málaga	De 30.001 a 50.000	1998	6
29 Málaga	De 30.001 a 50.000	1997	""
29 Málaga	De 30.001 a 50.000	1996	6
29 Málaga	De 50.001 a 100.000	2021	6
29 Málaga	De 50.001 a 100.000	2020	6
29 Málaga	De 50.001 a 100.000	2019	6
29 Málaga	De 50.001 a 100.000	2018	6
29 Málaga	De 50.001 a 100.000	2017	6
29 Málaga	De 50.001 a 100.000	2016	6
29 Málaga	De 50.001 a 100.000	2015	6
29 Málaga	De 50.001 a 100.000	2014	6
29 Málaga	De 50.001 a 100.000	2013	6
29 Málaga	De 50.001 a 100.000	2012	6
29 Málaga	De 50.001 a 100.000	2011	6
29 Málaga	De 50.001 a 100.000	2010	6
29 Málaga	De 50.001 a 100.000	2009	6
29 Málaga	De 50.001 a 100.000	2008	6
29 Málaga	De 50.001 a 100.000	2007	6
29 Málaga	De 50.001 a 100.000	2006	6
29 Málaga	De 50.001 a 100.000	2005	5
29 Málaga	De 50.001 a 100.000	2004	5
29 Málaga	De 50.001 a 100.000	2003	4
29 Málaga	De 50.001 a 100.000	2002	2
29 Málaga	De 50.001 a 100.000	2001	2
29 Málaga	De 50.001 a 100.000	2000	1
29 Málaga	De 50.001 a 100.000	1999	1
29 Málaga	De 50.001 a 100.000	1998	2
29 Málaga	De 50.001 a 100.000	1997	""
29 Málaga	De 50.001 a 100.000	1996	2
29 Málaga	De 100.001 a 500.000	2021	1
29 Málaga	De 100.001 a 500.000	2020	1
29 Málaga	De 100.001 a 500.000	2019	1
29 Málaga	De 100.001 a 500.000	2018	1
29 Málaga	De 100.001 a 500.000	2017	1
29 Málaga	De 100.001 a 500.000	2016	1
29 Málaga	De 100.001 a 500.000	2015	1
29 Málaga	De 100.001 a 500.000	2014	1
29 Málaga	De 100.001 a 500.000	2013	1
29 Málaga	De 100.001 a 500.000	2012	1
29 Málaga	De 100.001 a 500.000	2011	1
29 Málaga	De 100.001 a 500.000	2010	1
29 Málaga	De 100.001 a 500.000	2009	1
29 Málaga	De 100.001 a 500.000	2008	1
29 Málaga	De 100.001 a 500.000	2007	1
29 Málaga	De 100.001 a 500.000	2006	1
29 Málaga	De 100.001 a 500.000	2005	1
29 Málaga	De 100.001 a 500.000	2004	1
29 Málaga	De 100.001 a 500.000	2003	1
29 Málaga	De 100.001 a 500.000	2002	1
29 Málaga	De 100.001 a 500.000	2001	1
29 Málaga	De 100.001 a 500.000	2000	1
29 Málaga	De 100.001 a 500.000	1999	1
29 Málaga	De 100.001 a 500.000	1998	0
29 Málaga	De 100.001 a 500.000	1997	""
29 Málaga	De 100.001 a 500.000	1996	0
29 Málaga	Más de 500.000	2021	1
29 Málaga	Más de 500.000	2020	1
29 Málaga	Más de 500.000	2019	1
29 Málaga	Más de 500.000	2018	1
29 Málaga	Más de 500.000	2017	1
29 Málaga	Más de 500.000	2016	1
29 Málaga	Más de 500.000	2015	1
29 Málaga	Más de 500.000	2014	1
29 Málaga	Más de 500.000	2013	1
29 Málaga	Más de 500.000	2012	1
29 Málaga	Más de 500.000	2011	1
29 Málaga	Más de 500.000	2010	1
29 Málaga	Más de 500.000	2009	1
29 Málaga	Más de 500.000	2008	1
29 Málaga	Más de 500.000	2007	1
29 Málaga	Más de 500.000	2006	1
29 Málaga	Más de 500.000	2005	1
29 Málaga	Más de 500.000	2004	1
29 Málaga	Más de 500.000	2003	1
29 Málaga	Más de 500.000	2002	1
29 Málaga	Más de 500.000	2001	1
29 Málaga	Más de 500.000	2000	1
29 Málaga	Más de 500.000	1999	1
29 Málaga	Más de 500.000	1998	1
29 Málaga	Más de 500.000	1997	""
29 Málaga	Más de 500.000	1996	1
30 Murcia	Total	2021	45
30 Murcia	Total	2020	45
30 Murcia	Total	2019	45
30 Murcia	Total	2018	45
30 Murcia	Total	2017	45
30 Murcia	Total	2016	45
30 Murcia	Total	2015	45
30 Murcia	Total	2014	45
30 Murcia	Total	2013	45
30 Murcia	Total	2012	45
30 Murcia	Total	2011	45
30 Murcia	Total	2010	45
30 Murcia	Total	2009	45
30 Murcia	Total	2008	45
30 Murcia	Total	2007	45
30 Murcia	Total	2006	45
30 Murcia	Total	2005	45
30 Murcia	Total	2004	45
30 Murcia	Total	2003	45
30 Murcia	Total	2002	45
30 Murcia	Total	2001	45
30 Murcia	Total	2000	45
30 Murcia	Total	1999	45
30 Murcia	Total	1998	45
30 Murcia	Total	1997	""
30 Murcia	Total	1996	45
30 Murcia	Menos de 101	2021	0
30 Murcia	Menos de 101	2020	0
30 Murcia	Menos de 101	2019	0
30 Murcia	Menos de 101	2018	0
30 Murcia	Menos de 101	2017	0
30 Murcia	Menos de 101	2016	0
30 Murcia	Menos de 101	2015	0
30 Murcia	Menos de 101	2014	0
30 Murcia	Menos de 101	2013	0
30 Murcia	Menos de 101	2012	0
30 Murcia	Menos de 101	2011	0
30 Murcia	Menos de 101	2010	0
30 Murcia	Menos de 101	2009	0
30 Murcia	Menos de 101	2008	0
30 Murcia	Menos de 101	2007	0
30 Murcia	Menos de 101	2006	0
30 Murcia	Menos de 101	2005	0
30 Murcia	Menos de 101	2004	0
30 Murcia	Menos de 101	2003	0
30 Murcia	Menos de 101	2002	0
30 Murcia	Menos de 101	2001	0
30 Murcia	Menos de 101	2000	0
30 Murcia	Menos de 101	1999	0
30 Murcia	Menos de 101	1998	0
30 Murcia	Menos de 101	1997	""
30 Murcia	Menos de 101	1996	0
30 Murcia	De 101 a 500	2021	1
30 Murcia	De 101 a 500	2020	0
30 Murcia	De 101 a 500	2019	1
30 Murcia	De 101 a 500	2018	1
30 Murcia	De 101 a 500	2017	1
30 Murcia	De 101 a 500	2016	1
30 Murcia	De 101 a 500	2015	0
30 Murcia	De 101 a 500	2014	0
30 Murcia	De 101 a 500	2013	0
30 Murcia	De 101 a 500	2012	0
30 Murcia	De 101 a 500	2011	0
30 Murcia	De 101 a 500	2010	0
30 Murcia	De 101 a 500	2009	0
30 Murcia	De 101 a 500	2008	0
30 Murcia	De 101 a 500	2007	0
30 Murcia	De 101 a 500	2006	0
30 Murcia	De 101 a 500	2005	0
30 Murcia	De 101 a 500	2004	0
30 Murcia	De 101 a 500	2003	0
30 Murcia	De 101 a 500	2002	0
30 Murcia	De 101 a 500	2001	0
30 Murcia	De 101 a 500	2000	0
30 Murcia	De 101 a 500	1999	0
30 Murcia	De 101 a 500	1998	0
30 Murcia	De 101 a 500	1997	""
30 Murcia	De 101 a 500	1996	0
30 Murcia	De 501 a 1.000	2021	1
30 Murcia	De 501 a 1.000	2020	2
30 Murcia	De 501 a 1.000	2019	1
30 Murcia	De 501 a 1.000	2018	1
30 Murcia	De 501 a 1.000	2017	2
30 Murcia	De 501 a 1.000	2016	2
30 Murcia	De 501 a 1.000	2015	3
30 Murcia	De 501 a 1.000	2014	3
30 Murcia	De 501 a 1.000	2013	2
30 Murcia	De 501 a 1.000	2012	2
30 Murcia	De 501 a 1.000	2011	2
30 Murcia	De 501 a 1.000	2010	2
30 Murcia	De 501 a 1.000	2009	2
30 Murcia	De 501 a 1.000	2008	2
30 Murcia	De 501 a 1.000	2007	2
30 Murcia	De 501 a 1.000	2006	2
30 Murcia	De 501 a 1.000	2005	2
30 Murcia	De 501 a 1.000	2004	2
30 Murcia	De 501 a 1.000	2003	2
30 Murcia	De 501 a 1.000	2002	2
30 Murcia	De 501 a 1.000	2001	2
30 Murcia	De 501 a 1.000	2000	3
30 Murcia	De 501 a 1.000	1999	2
30 Murcia	De 501 a 1.000	1998	2
30 Murcia	De 501 a 1.000	1997	""
30 Murcia	De 501 a 1.000	1996	2
30 Murcia	De 1.001 a 2.000	2021	3
30 Murcia	De 1.001 a 2.000	2020	3
30 Murcia	De 1.001 a 2.000	2019	3
30 Murcia	De 1.001 a 2.000	2018	3
30 Murcia	De 1.001 a 2.000	2017	2
30 Murcia	De 1.001 a 2.000	2016	2
30 Murcia	De 1.001 a 2.000	2015	2
30 Murcia	De 1.001 a 2.000	2014	2
30 Murcia	De 1.001 a 2.000	2013	3
30 Murcia	De 1.001 a 2.000	2012	3
30 Murcia	De 1.001 a 2.000	2011	3
30 Murcia	De 1.001 a 2.000	2010	3
30 Murcia	De 1.001 a 2.000	2009	3
30 Murcia	De 1.001 a 2.000	2008	3
30 Murcia	De 1.001 a 2.000	2007	3
30 Murcia	De 1.001 a 2.000	2006	4
30 Murcia	De 1.001 a 2.000	2005	4
30 Murcia	De 1.001 a 2.000	2004	4
30 Murcia	De 1.001 a 2.000	2003	4
30 Murcia	De 1.001 a 2.000	2002	4
30 Murcia	De 1.001 a 2.000	2001	4
30 Murcia	De 1.001 a 2.000	2000	3
30 Murcia	De 1.001 a 2.000	1999	4
30 Murcia	De 1.001 a 2.000	1998	4
30 Murcia	De 1.001 a 2.000	1997	""
30 Murcia	De 1.001 a 2.000	1996	4
30 Murcia	De 2.001 a 3.000	2021	1
30 Murcia	De 2.001 a 3.000	2020	1
30 Murcia	De 2.001 a 3.000	2019	2
30 Murcia	De 2.001 a 3.000	2018	2
30 Murcia	De 2.001 a 3.000	2017	2
30 Murcia	De 2.001 a 3.000	2016	2
30 Murcia	De 2.001 a 3.000	2015	2
30 Murcia	De 2.001 a 3.000	2014	2
30 Murcia	De 2.001 a 3.000	2013	2
30 Murcia	De 2.001 a 3.000	2012	2
30 Murcia	De 2.001 a 3.000	2011	2
30 Murcia	De 2.001 a 3.000	2010	2
30 Murcia	De 2.001 a 3.000	2009	2
30 Murcia	De 2.001 a 3.000	2008	2
30 Murcia	De 2.001 a 3.000	2007	2
30 Murcia	De 2.001 a 3.000	2006	1
30 Murcia	De 2.001 a 3.000	2005	1
30 Murcia	De 2.001 a 3.000	2004	1
30 Murcia	De 2.001 a 3.000	2003	1
30 Murcia	De 2.001 a 3.000	2002	1
30 Murcia	De 2.001 a 3.000	2001	1
30 Murcia	De 2.001 a 3.000	2000	1
30 Murcia	De 2.001 a 3.000	1999	1
30 Murcia	De 2.001 a 3.000	1998	1
30 Murcia	De 2.001 a 3.000	1997	""
30 Murcia	De 2.001 a 3.000	1996	1
30 Murcia	De 3.001 a 5.000	2021	2
30 Murcia	De 3.001 a 5.000	2020	2
30 Murcia	De 3.001 a 5.000	2019	1
30 Murcia	De 3.001 a 5.000	2018	1
30 Murcia	De 3.001 a 5.000	2017	1
30 Murcia	De 3.001 a 5.000	2016	1
30 Murcia	De 3.001 a 5.000	2015	1
30 Murcia	De 3.001 a 5.000	2014	2
30 Murcia	De 3.001 a 5.000	2013	2
30 Murcia	De 3.001 a 5.000	2012	2
30 Murcia	De 3.001 a 5.000	2011	2
30 Murcia	De 3.001 a 5.000	2010	2
30 Murcia	De 3.001 a 5.000	2009	2
30 Murcia	De 3.001 a 5.000	2008	2
30 Murcia	De 3.001 a 5.000	2007	2
30 Murcia	De 3.001 a 5.000	2006	2
30 Murcia	De 3.001 a 5.000	2005	2
30 Murcia	De 3.001 a 5.000	2004	2
30 Murcia	De 3.001 a 5.000	2003	2
30 Murcia	De 3.001 a 5.000	2002	2
30 Murcia	De 3.001 a 5.000	2001	2
30 Murcia	De 3.001 a 5.000	2000	2
30 Murcia	De 3.001 a 5.000	1999	2
30 Murcia	De 3.001 a 5.000	1998	2
30 Murcia	De 3.001 a 5.000	1997	""
30 Murcia	De 3.001 a 5.000	1996	2
30 Murcia	De 5.001 a 10.000	2021	6
30 Murcia	De 5.001 a 10.000	2020	6
30 Murcia	De 5.001 a 10.000	2019	6
30 Murcia	De 5.001 a 10.000	2018	6
30 Murcia	De 5.001 a 10.000	2017	6
30 Murcia	De 5.001 a 10.000	2016	7
30 Murcia	De 5.001 a 10.000	2015	7
30 Murcia	De 5.001 a 10.000	2014	6
30 Murcia	De 5.001 a 10.000	2013	6
30 Murcia	De 5.001 a 10.000	2012	5
30 Murcia	De 5.001 a 10.000	2011	5
30 Murcia	De 5.001 a 10.000	2010	6
30 Murcia	De 5.001 a 10.000	2009	6
30 Murcia	De 5.001 a 10.000	2008	7
30 Murcia	De 5.001 a 10.000	2007	7
30 Murcia	De 5.001 a 10.000	2006	8
30 Murcia	De 5.001 a 10.000	2005	9
30 Murcia	De 5.001 a 10.000	2004	9
30 Murcia	De 5.001 a 10.000	2003	9
30 Murcia	De 5.001 a 10.000	2002	10
30 Murcia	De 5.001 a 10.000	2001	10
30 Murcia	De 5.001 a 10.000	2000	10
30 Murcia	De 5.001 a 10.000	1999	11
30 Murcia	De 5.001 a 10.000	1998	11
30 Murcia	De 5.001 a 10.000	1997	""
30 Murcia	De 5.001 a 10.000	1996	12
30 Murcia	De 10.001 a 20.000	2021	13
30 Murcia	De 10.001 a 20.000	2020	13
30 Murcia	De 10.001 a 20.000	2019	13
30 Murcia	De 10.001 a 20.000	2018	14
30 Murcia	De 10.001 a 20.000	2017	14
30 Murcia	De 10.001 a 20.000	2016	13
30 Murcia	De 10.001 a 20.000	2015	13
30 Murcia	De 10.001 a 20.000	2014	13
30 Murcia	De 10.001 a 20.000	2013	13
30 Murcia	De 10.001 a 20.000	2012	14
30 Murcia	De 10.001 a 20.000	2011	14
30 Murcia	De 10.001 a 20.000	2010	13
30 Murcia	De 10.001 a 20.000	2009	14
30 Murcia	De 10.001 a 20.000	2008	13
30 Murcia	De 10.001 a 20.000	2007	14
30 Murcia	De 10.001 a 20.000	2006	13
30 Murcia	De 10.001 a 20.000	2005	13
30 Murcia	De 10.001 a 20.000	2004	13
30 Murcia	De 10.001 a 20.000	2003	13
30 Murcia	De 10.001 a 20.000	2002	12
30 Murcia	De 10.001 a 20.000	2001	12
30 Murcia	De 10.001 a 20.000	2000	14
30 Murcia	De 10.001 a 20.000	1999	13
30 Murcia	De 10.001 a 20.000	1998	13
30 Murcia	De 10.001 a 20.000	1997	""
30 Murcia	De 10.001 a 20.000	1996	12
30 Murcia	De 20.001 a 30.000	2021	6
30 Murcia	De 20.001 a 30.000	2020	6
30 Murcia	De 20.001 a 30.000	2019	6
30 Murcia	De 20.001 a 30.000	2018	5
30 Murcia	De 20.001 a 30.000	2017	5
30 Murcia	De 20.001 a 30.000	2016	5
30 Murcia	De 20.001 a 30.000	2015	5
30 Murcia	De 20.001 a 30.000	2014	5
30 Murcia	De 20.001 a 30.000	2013	5
30 Murcia	De 20.001 a 30.000	2012	5
30 Murcia	De 20.001 a 30.000	2011	6
30 Murcia	De 20.001 a 30.000	2010	6
30 Murcia	De 20.001 a 30.000	2009	5
30 Murcia	De 20.001 a 30.000	2008	5
30 Murcia	De 20.001 a 30.000	2007	6
30 Murcia	De 20.001 a 30.000	2006	6
30 Murcia	De 20.001 a 30.000	2005	6
30 Murcia	De 20.001 a 30.000	2004	6
30 Murcia	De 20.001 a 30.000	2003	7
30 Murcia	De 20.001 a 30.000	2002	7
30 Murcia	De 20.001 a 30.000	2001	7
30 Murcia	De 20.001 a 30.000	2000	6
30 Murcia	De 20.001 a 30.000	1999	6
30 Murcia	De 20.001 a 30.000	1998	6
30 Murcia	De 20.001 a 30.000	1997	""
30 Murcia	De 20.001 a 30.000	1996	6
30 Murcia	De 30.001 a 50.000	2021	8
30 Murcia	De 30.001 a 50.000	2020	8
30 Murcia	De 30.001 a 50.000	2019	8
30 Murcia	De 30.001 a 50.000	2018	8
30 Murcia	De 30.001 a 50.000	2017	8
30 Murcia	De 30.001 a 50.000	2016	8
30 Murcia	De 30.001 a 50.000	2015	8
30 Murcia	De 30.001 a 50.000	2014	8
30 Murcia	De 30.001 a 50.000	2013	8
30 Murcia	De 30.001 a 50.000	2012	8
30 Murcia	De 30.001 a 50.000	2011	7
30 Murcia	De 30.001 a 50.000	2010	7
30 Murcia	De 30.001 a 50.000	2009	7
30 Murcia	De 30.001 a 50.000	2008	7
30 Murcia	De 30.001 a 50.000	2007	5
30 Murcia	De 30.001 a 50.000	2006	5
30 Murcia	De 30.001 a 50.000	2005	4
30 Murcia	De 30.001 a 50.000	2004	4
30 Murcia	De 30.001 a 50.000	2003	3
30 Murcia	De 30.001 a 50.000	2002	4
30 Murcia	De 30.001 a 50.000	2001	4
30 Murcia	De 30.001 a 50.000	2000	3
30 Murcia	De 30.001 a 50.000	1999	3
30 Murcia	De 30.001 a 50.000	1998	3
30 Murcia	De 30.001 a 50.000	1997	""
30 Murcia	De 30.001 a 50.000	1996	3
30 Murcia	De 50.001 a 100.000	2021	2
30 Murcia	De 50.001 a 100.000	2020	2
30 Murcia	De 50.001 a 100.000	2019	2
30 Murcia	De 50.001 a 100.000	2018	2
30 Murcia	De 50.001 a 100.000	2017	2
30 Murcia	De 50.001 a 100.000	2016	2
30 Murcia	De 50.001 a 100.000	2015	2
30 Murcia	De 50.001 a 100.000	2014	2
30 Murcia	De 50.001 a 100.000	2013	2
30 Murcia	De 50.001 a 100.000	2012	2
30 Murcia	De 50.001 a 100.000	2011	2
30 Murcia	De 50.001 a 100.000	2010	2
30 Murcia	De 50.001 a 100.000	2009	2
30 Murcia	De 50.001 a 100.000	2008	2
30 Murcia	De 50.001 a 100.000	2007	2
30 Murcia	De 50.001 a 100.000	2006	2
30 Murcia	De 50.001 a 100.000	2005	2
30 Murcia	De 50.001 a 100.000	2004	2
30 Murcia	De 50.001 a 100.000	2003	2
30 Murcia	De 50.001 a 100.000	2002	1
30 Murcia	De 50.001 a 100.000	2001	1
30 Murcia	De 50.001 a 100.000	2000	1
30 Murcia	De 50.001 a 100.000	1999	1
30 Murcia	De 50.001 a 100.000	1998	1
30 Murcia	De 50.001 a 100.000	1997	""
30 Murcia	De 50.001 a 100.000	1996	1
30 Murcia	De 100.001 a 500.000	2021	2
30 Murcia	De 100.001 a 500.000	2020	2
30 Murcia	De 100.001 a 500.000	2019	2
30 Murcia	De 100.001 a 500.000	2018	2
30 Murcia	De 100.001 a 500.000	2017	2
30 Murcia	De 100.001 a 500.000	2016	2
30 Murcia	De 100.001 a 500.000	2015	2
30 Murcia	De 100.001 a 500.000	2014	2
30 Murcia	De 100.001 a 500.000	2013	2
30 Murcia	De 100.001 a 500.000	2012	2
30 Murcia	De 100.001 a 500.000	2011	2
30 Murcia	De 100.001 a 500.000	2010	2
30 Murcia	De 100.001 a 500.000	2009	2
30 Murcia	De 100.001 a 500.000	2008	2
30 Murcia	De 100.001 a 500.000	2007	2
30 Murcia	De 100.001 a 500.000	2006	2
30 Murcia	De 100.001 a 500.000	2005	2
30 Murcia	De 100.001 a 500.000	2004	2
30 Murcia	De 100.001 a 500.000	2003	2
30 Murcia	De 100.001 a 500.000	2002	2
30 Murcia	De 100.001 a 500.000	2001	2
30 Murcia	De 100.001 a 500.000	2000	2
30 Murcia	De 100.001 a 500.000	1999	2
30 Murcia	De 100.001 a 500.000	1998	2
30 Murcia	De 100.001 a 500.000	1997	""
30 Murcia	De 100.001 a 500.000	1996	2
30 Murcia	Más de 500.000	2021	0
30 Murcia	Más de 500.000	2020	0
30 Murcia	Más de 500.000	2019	0
30 Murcia	Más de 500.000	2018	0
30 Murcia	Más de 500.000	2017	0
30 Murcia	Más de 500.000	2016	0
30 Murcia	Más de 500.000	2015	0
30 Murcia	Más de 500.000	2014	0
30 Murcia	Más de 500.000	2013	0
30 Murcia	Más de 500.000	2012	0
30 Murcia	Más de 500.000	2011	0
30 Murcia	Más de 500.000	2010	0
30 Murcia	Más de 500.000	2009	0
30 Murcia	Más de 500.000	2008	0
30 Murcia	Más de 500.000	2007	0
30 Murcia	Más de 500.000	2006	0
30 Murcia	Más de 500.000	2005	0
30 Murcia	Más de 500.000	2004	0
30 Murcia	Más de 500.000	2003	0
30 Murcia	Más de 500.000	2002	0
30 Murcia	Más de 500.000	2001	0
30 Murcia	Más de 500.000	2000	0
30 Murcia	Más de 500.000	1999	0
30 Murcia	Más de 500.000	1998	0
30 Murcia	Más de 500.000	1997	""
30 Murcia	Más de 500.000	1996	0
31 Navarra	Total	2021	272
31 Navarra	Total	2020	272
31 Navarra	Total	2019	272
31 Navarra	Total	2018	272
31 Navarra	Total	2017	272
31 Navarra	Total	2016	272
31 Navarra	Total	2015	272
31 Navarra	Total	2014	272
31 Navarra	Total	2013	272
31 Navarra	Total	2012	272
31 Navarra	Total	2011	272
31 Navarra	Total	2010	272
31 Navarra	Total	2009	272
31 Navarra	Total	2008	272
31 Navarra	Total	2007	272
31 Navarra	Total	2006	272
31 Navarra	Total	2005	272
31 Navarra	Total	2004	272
31 Navarra	Total	2003	272
31 Navarra	Total	2002	272
31 Navarra	Total	2001	272
31 Navarra	Total	2000	272
31 Navarra	Total	1999	272
31 Navarra	Total	1998	272
31 Navarra	Total	1997	""
31 Navarra	Total	1996	272
31 Navarra	Menos de 101	2021	47
31 Navarra	Menos de 101	2020	48
31 Navarra	Menos de 101	2019	43
31 Navarra	Menos de 101	2018	44
31 Navarra	Menos de 101	2017	42
31 Navarra	Menos de 101	2016	40
31 Navarra	Menos de 101	2015	42
31 Navarra	Menos de 101	2014	41
31 Navarra	Menos de 101	2013	40
31 Navarra	Menos de 101	2012	37
31 Navarra	Menos de 101	2011	35
31 Navarra	Menos de 101	2010	36
31 Navarra	Menos de 101	2009	36
31 Navarra	Menos de 101	2008	34
31 Navarra	Menos de 101	2007	33
31 Navarra	Menos de 101	2006	35
31 Navarra	Menos de 101	2005	34
31 Navarra	Menos de 101	2004	34
31 Navarra	Menos de 101	2003	35
31 Navarra	Menos de 101	2002	35
31 Navarra	Menos de 101	2001	34
31 Navarra	Menos de 101	2000	36
31 Navarra	Menos de 101	1999	32
31 Navarra	Menos de 101	1998	34
31 Navarra	Menos de 101	1997	""
31 Navarra	Menos de 101	1996	34
31 Navarra	De 101 a 500	2021	105
31 Navarra	De 101 a 500	2020	104
31 Navarra	De 101 a 500	2019	110
31 Navarra	De 101 a 500	2018	109
31 Navarra	De 101 a 500	2017	111
31 Navarra	De 101 a 500	2016	113
31 Navarra	De 101 a 500	2015	110
31 Navarra	De 101 a 500	2014	111
31 Navarra	De 101 a 500	2013	110
31 Navarra	De 101 a 500	2012	112
31 Navarra	De 101 a 500	2011	115
31 Navarra	De 101 a 500	2010	114
31 Navarra	De 101 a 500	2009	116
31 Navarra	De 101 a 500	2008	119
31 Navarra	De 101 a 500	2007	120
31 Navarra	De 101 a 500	2006	119
31 Navarra	De 101 a 500	2005	120
31 Navarra	De 101 a 500	2004	121
31 Navarra	De 101 a 500	2003	122
31 Navarra	De 101 a 500	2002	121
31 Navarra	De 101 a 500	2001	122
31 Navarra	De 101 a 500	2000	120
31 Navarra	De 101 a 500	1999	124
31 Navarra	De 101 a 500	1998	122
31 Navarra	De 101 a 500	1997	""
31 Navarra	De 101 a 500	1996	122
31 Navarra	De 501 a 1.000	2021	37
31 Navarra	De 501 a 1.000	2020	37
31 Navarra	De 501 a 1.000	2019	36
31 Navarra	De 501 a 1.000	2018	36
31 Navarra	De 501 a 1.000	2017	36
31 Navarra	De 501 a 1.000	2016	35
31 Navarra	De 501 a 1.000	2015	36
31 Navarra	De 501 a 1.000	2014	34
31 Navarra	De 501 a 1.000	2013	37
31 Navarra	De 501 a 1.000	2012	37
31 Navarra	De 501 a 1.000	2011	36
31 Navarra	De 501 a 1.000	2010	37
31 Navarra	De 501 a 1.000	2009	35
31 Navarra	De 501 a 1.000	2008	34
31 Navarra	De 501 a 1.000	2007	34
31 Navarra	De 501 a 1.000	2006	33
31 Navarra	De 501 a 1.000	2005	34
31 Navarra	De 501 a 1.000	2004	33
31 Navarra	De 501 a 1.000	2003	32
31 Navarra	De 501 a 1.000	2002	33
31 Navarra	De 501 a 1.000	2001	33
31 Navarra	De 501 a 1.000	2000	35
31 Navarra	De 501 a 1.000	1999	36
31 Navarra	De 501 a 1.000	1998	35
31 Navarra	De 501 a 1.000	1997	""
31 Navarra	De 501 a 1.000	1996	35
31 Navarra	De 1.001 a 2.000	2021	22
31 Navarra	De 1.001 a 2.000	2020	22
31 Navarra	De 1.001 a 2.000	2019	23
31 Navarra	De 1.001 a 2.000	2018	23
31 Navarra	De 1.001 a 2.000	2017	22
31 Navarra	De 1.001 a 2.000	2016	24
31 Navarra	De 1.001 a 2.000	2015	23
31 Navarra	De 1.001 a 2.000	2014	25
31 Navarra	De 1.001 a 2.000	2013	25
31 Navarra	De 1.001 a 2.000	2012	26
31 Navarra	De 1.001 a 2.000	2011	27
31 Navarra	De 1.001 a 2.000	2010	26
31 Navarra	De 1.001 a 2.000	2009	26
31 Navarra	De 1.001 a 2.000	2008	26
31 Navarra	De 1.001 a 2.000	2007	27
31 Navarra	De 1.001 a 2.000	2006	27
31 Navarra	De 1.001 a 2.000	2005	28
31 Navarra	De 1.001 a 2.000	2004	30
31 Navarra	De 1.001 a 2.000	2003	29
31 Navarra	De 1.001 a 2.000	2002	30
31 Navarra	De 1.001 a 2.000	2001	32
31 Navarra	De 1.001 a 2.000	2000	30
31 Navarra	De 1.001 a 2.000	1999	28
31 Navarra	De 1.001 a 2.000	1998	30
31 Navarra	De 1.001 a 2.000	1997	""
31 Navarra	De 1.001 a 2.000	1996	30
31 Navarra	De 2.001 a 3.000	2021	23
31 Navarra	De 2.001 a 3.000	2020	24
31 Navarra	De 2.001 a 3.000	2019	23
31 Navarra	De 2.001 a 3.000	2018	23
31 Navarra	De 2.001 a 3.000	2017	24
31 Navarra	De 2.001 a 3.000	2016	23
31 Navarra	De 2.001 a 3.000	2015	24
31 Navarra	De 2.001 a 3.000	2014	24
31 Navarra	De 2.001 a 3.000	2013	23
31 Navarra	De 2.001 a 3.000	2012	23
31 Navarra	De 2.001 a 3.000	2011	21
31 Navarra	De 2.001 a 3.000	2010	21
31 Navarra	De 2.001 a 3.000	2009	21
31 Navarra	De 2.001 a 3.000	2008	24
31 Navarra	De 2.001 a 3.000	2007	24
31 Navarra	De 2.001 a 3.000	2006	24
31 Navarra	De 2.001 a 3.000	2005	22
31 Navarra	De 2.001 a 3.000	2004	21
31 Navarra	De 2.001 a 3.000	2003	22
31 Navarra	De 2.001 a 3.000	2002	21
31 Navarra	De 2.001 a 3.000	2001	21
31 Navarra	De 2.001 a 3.000	2000	21
31 Navarra	De 2.001 a 3.000	1999	21
31 Navarra	De 2.001 a 3.000	1998	19
31 Navarra	De 2.001 a 3.000	1997	""
31 Navarra	De 2.001 a 3.000	1996	21
31 Navarra	De 3.001 a 5.000	2021	17
31 Navarra	De 3.001 a 5.000	2020	16
31 Navarra	De 3.001 a 5.000	2019	16
31 Navarra	De 3.001 a 5.000	2018	16
31 Navarra	De 3.001 a 5.000	2017	15
31 Navarra	De 3.001 a 5.000	2016	15
31 Navarra	De 3.001 a 5.000	2015	15
31 Navarra	De 3.001 a 5.000	2014	15
31 Navarra	De 3.001 a 5.000	2013	15
31 Navarra	De 3.001 a 5.000	2012	15
31 Navarra	De 3.001 a 5.000	2011	16
31 Navarra	De 3.001 a 5.000	2010	17
31 Navarra	De 3.001 a 5.000	2009	17
31 Navarra	De 3.001 a 5.000	2008	14
31 Navarra	De 3.001 a 5.000	2007	13
31 Navarra	De 3.001 a 5.000	2006	15
31 Navarra	De 3.001 a 5.000	2005	16
